username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JeganArasu;2015-12-03 20:07;0;0;"Chennai corporation announces Emergency Contact Numbers for all regional zones in the city @ shrutihaasan spreadpic.twitter.com/HQUIh92Izm";Coimbatore- India;@;;"672628203622522880";https://twitter.com/JeganArasu/status/672628203622522880
droj87;2015-12-03 19:07;0;0;"Chennai rains: Aviation ministry warns airlines not to flood their coffers with extra money - The Economic ... http://m.economictimes.com/articleshow/50034791.cms …";Velur- India;;;"672613113133318144";https://twitter.com/droj87/status/672613113133318144
dilsaeakshay1;2015-12-03 18:34;0;1;"After intolerance drama AK left for USA & SRK left 4 Europe So, who's helping the # ChennaiFloods sufferers? Who else? The "Intolerant" RSS!";Bengaluru- India;;;"672604954935304192";https://twitter.com/dilsaeakshay1/status/672604954935304192
dilsaeakshay1;2015-12-03 18:34;0;0;"After intolerance drama AK left for USA & SRK left 4 Europe So, who's helping the #ChennaiFloods sufferers? Who else? The "Intolerant" RSS!";Bengaluru- India;;;"672604760185438208";https://twitter.com/dilsaeakshay1/status/672604760185438208
saranaary;2015-12-03 17:33;0;0;"# ChennaiFloods make the more safe and reliable.......near kolathur";Perambur Purasavakam- India;;;"672589615598014464";https://twitter.com/saranaary/status/672589615598014464
Luvblidiot;2015-12-03 17:32;0;0;"# Hope_Chennai_Continue_Rain_Stop_Soon # Pray_To_God_Stop_Wreaking_Havoc_On_Chennai_Ppls # Volunters_Survive_As_Much_Yu_Can @ ChennaiRains";Hosur- Tamil Nadu;@;;"672589347858726913";https://twitter.com/Luvblidiot/status/672589347858726913
Umeedspy;2015-12-03 13:29;1;0;"Finding a way Home #rains#chennai#flood @SRM Boys Hostel https://www.instagram.com/p/-2EQ3fyqwzuWX6czruCo2fOacO1rYZCxhHwEI0/ …";Kattankulathur- India;@SRM;;"672528164531388417";https://twitter.com/Umeedspy/status/672528164531388417
1953Lakshmi;2015-12-03 12:29;3;0;"# ChennaiMicro Hi! bro,wife,parents, all 5 r super seniors citizens stranded at house next to 15/1, 1cross Raghavan Colony, Ashok nagar.";Bengaluru- India;;;"672512926494822401";https://twitter.com/1953Lakshmi/status/672512926494822401
1953Lakshmi;2015-12-03 12:26;0;0;"# ChennaiMicro@Chinmayi@rjbalaji God gave U mind n heart to take up the mammoth task. May HE give U strength n support system n BLESS U all.";Bengaluru- India;@Chinmayi @rjbalaji;;"672512358237863936";https://twitter.com/1953Lakshmi/status/672512358237863936
1953Lakshmi;2015-12-03 12:23;0;0;"# ChennaiMicro@Chinmayi@rjbalaji Please HELP as their ages r 92,85,80,70,65. None with them 2 help. Please please. Not being able to contact.";Bengaluru- India;@Chinmayi @rjbalaji;;"672511606639558656";https://twitter.com/1953Lakshmi/status/672511606639558656
1953Lakshmi;2015-12-03 12:21;1;0;"# ChennaiMicro@Chinmayi@rjbalaj-bro wife parents 5 super senior citizens stranded at house next to 15/1, 1cross Raghavan Colony, Ashok nagar.";Bengaluru- India;@Chinmayi @rjbalaj;;"672511064232169474";https://twitter.com/1953Lakshmi/status/672511064232169474
1953Lakshmi;2015-12-03 11:35;0;0;"# ChennaiMicro God gave you the mind n heart to take up this mammoth task. May HE give you the strength n support system n BLESS you all.";Bengaluru- India;;;"672499445410365440";https://twitter.com/1953Lakshmi/status/672499445410365440
1953Lakshmi;2015-12-03 11:31;0;0;"# ChennaiMicro Siddhartha Hi! Please HELP as their ages r 92,85,80,70,65. None with them to help. Please please. Not being able to contact.";Bengaluru- India;;;"672498294346543104";https://twitter.com/1953Lakshmi/status/672498294346543104
